platform_post_id,snapshots,span_h,likes_gained,max_step_share,step_at_snapshot
2075061400167145510,36,119.7,999,0.929,4
2077719476141707769,33,24.4,1264,0.771,2
2074406901010329621,316,173.7,2440,0.764,0
2072965032359457084,79,315.3,140,0.757,0
2073829288499912845,226,115.3,68,0.735,0
2074476550972461422,213,208.7,874,0.658,4
2074046114785792203,170,103.6,1698,0.648,0
2073703364098167255,63,79.0,651,0.639,0
2074233311556431906,224,118.3,3131,0.629,0
2072927540432306572,464,315.3,216,0.611,0
2072964575054446799,54,107.1,539,0.61,0
2074281895152546151,226,115.0,89,0.596,0
2076587073268552050,73,47.9,54,0.574,7
2072839324874285064,47,105.0,96,0.573,0
2074051060398805195,319,198.4,2464,0.572,1
2074163347222593786,226,115.3,615,0.545,0
2073797335767982419,50,68.6,1786,0.526,2
2073534769179046324,63,94.9,996,0.517,0
2073034754643886436,11,41.0,118,0.508,0
2072710480640999492,97,35.0,65,0.508,0
2073066215119925287,79,315.3,138,0.5,0
2073296618439233541,11,41.1,705,0.495,0
2073082420660756711,8,29.9,87,0.483,1
2073252281676661211,342,303.0,259,0.479,0
2073791814176477279,9,58.7,1449,0.467,1
2073340394658578617,95,122.0,1525,0.465,0
2074176556226761096,258,118.9,572,0.465,0
2073113042452390063,234,307.3,374,0.463,1
2074445455719604474,77,222.5,253,0.462,5
2073964327325868301,232,152.4,3585,0.457,0
2073785416256221185,174,113.5,1162,0.457,2
2074337771594911999,224,118.3,7117,0.435,0
2072981442859012477,106,125.1,723,0.432,0
2073820190266077673,361,223.0,7851,0.422,0
2073089463362736469,24,82.6,237,0.422,0
2073217398245671369,55,307.2,325,0.422,0
2074184128748978423,290,262.4,1002,0.419,1
2073811651715850489,73,281.3,1774,0.4,2
2073294690829394034,57,307.9,539,0.393,0
2073694985547923518,187,142.0,2395,0.343,0
2073045764079554571,41,103.1,849,0.343,0
2072922117759218020,90,120.3,1071,0.341,2
2073047651503817078,10,37.3,359,0.337,2
2074657409470189865,100,36.5,4755,0.336,0
2073653092319449472,172,226.3,2547,0.335,0
2073423778277625916,268,213.8,1778,0.323,2
2074555546431037804,314,154.7,1869,0.319,0
2073639687596478662,11,73.9,1200,0.318,0
2073099120663822481,178,315.3,608,0.317,0
2073065357900665307,16,94.9,1360,0.312,0
2073356216940511742,13,287.6,453,0.309,2
2073270641860485329,14,57.7,774,0.295,0
2073796472517050640,140,285.8,1005,0.294,3
2077767881706680627,66,25.0,643,0.292,0
2077802082938036333,8,2.6,244,0.291,0
2078112740431077641,10,3.5,1616,0.29,0
2008892469925089570,8,2.7,1485,0.288,0
2073754472690352585,444,290.0,3066,0.282,0
2077725078037340279,14,4.8,64,0.281,0
2074489509912199321,21,9.1,402,0.276,0
2077788884943982771,9,3.4,127,0.268,0
2076169108219990142,204,118.9,2404,0.266,11
2073410232626086135,10,37.2,1903,0.265,2
2074555466269491249,275,130.4,3080,0.262,0
2073602769236500971,14,79.5,2613,0.259,0
2073658160280412356,325,213.9,1644,0.257,0
2077930334096589114,8,2.6,291,0.254,0
2075251218050404474,211,119.7,836,0.251,0
2073437502216565176,31,267.2,1611,0.249,2
2073071328429555791,378,275.8,1454,0.246,0
2074279991152361569,254,118.0,386,0.246,0
2074492421921026505,35,13.4,856,0.245,0
2073809756200772064,392,285.7,2709,0.242,3
2076775876524486850,97,46.1,93,0.237,1
2077963400156471671,11,4.3,614,0.225,6
2074430398944150010,137,119.8,456,0.224,131
2074654179281232012,278,130.9,1541,0.221,0
2077711147130622014,14,4.8,84,0.214,2
2076523337384366176,163,86.6,1160,0.214,0
2073547359871512938,226,115.3,114,0.211,0
2077527176388170204,60,22.6,454,0.205,1
2077141913485066301,65,24.4,151,0.205,4
2077496753608175982,64,24.1,54,0.204,0
2074754814475485532,8,2.1,1019,0.204,1
2076759974613594540,146,76.4,553,0.199,0
2078119827294519368,10,3.5,1651,0.196,0
2073365457441071404,33,295.4,712,0.192,2
2073314137904493004,98,118.0,3815,0.192,2
2077757065443873163,18,6.5,230,0.191,0
2077433139832492377,32,11.9,70,0.186,3
2077181002439372847,58,21.9,78,0.179,2
2077415873162215643,76,32.6,982,0.179,5
2077793050445615569,12,4.3,526,0.179,0
2077935576422961307,8,2.7,212,0.175,0
2077705292079300789,9,3.1,63,0.175,5
2077013172419281332,8,2.7,363,0.171,0
2078102508602355727,8,2.7,10275,0.169,2
2076308324643987737,158,83.6,71,0.169,0
2077496782641135998,64,24.1,267,0.169,0
2077717960295121140,13,4.8,540,0.163,1
2077882498529325184,21,7.9,11462,0.163,1
2077758242965389391,19,7.1,392,0.158,1
2077797888445337669,66,25.0,5330,0.157,0
2077712782363939056,65,24.5,90,0.156,2
2075629447244308882,199,119.2,65,0.154,0
2077763499279720885,16,5.8,213,0.15,0
2078035183471644681,10,3.5,341,0.15,2
2077374853976391779,49,18.2,222,0.149,1
2076635963699478689,119,59.8,199,0.146,1
2075682616221577554,201,119.6,487,0.144,4
2078111749664809367,10,3.5,6899,0.144,1
2077504107061866715,64,24.1,91,0.143,4
2077504634206269742,64,24.1,261,0.142,0
2076266838141321574,176,95.2,5510,0.139,1
2077962092637028380,30,11.1,1337,0.139,0
2074472053080559990,315,154.7,755,0.138,0
2077379463755513919,64,24.1,59,0.136,5
2077393613743427729,65,24.5,59,0.136,3
2077496660360311195,65,24.4,3257,0.136,0
2074476895748427815,349,222.5,764,0.136,0
2075227358013862172,201,120.0,52,0.135,14
2077702878802657327,20,7.4,534,0.135,0
2077727224850223118,18,6.6,149,0.134,1
2076360367153058014,162,86.7,1816,0.133,1
2077507849781957097,21,7.7,60,0.133,1
2077786014915932337,64,24.1,1066,0.131,0
2077791992415699453,15,5.2,108,0.13,9
2078076198773518575,15,5.4,937,0.128,0
2076601540861735088,131,67.2,405,0.128,12
2077725235067900260,25,9.3,1128,0.126,0
2077807016249094385,65,24.4,2684,0.125,0
2076235115097649314,179,96.3,104,0.125,0
2077805310652129611,65,24.4,1415,0.125,0
2077847072544563232,15,5.6,1238,0.124,13
2077511702313386350,79,34.5,368,0.122,1
2077379452913226062,63,23.7,82,0.122,2
2077511265480831047,60,22.6,3414,0.121,1
2076717096424088045,149,78.3,290,0.121,0
2076996283731218682,91,41.9,240,0.121,4
2078012024638812365,29,10.6,2957,0.12,0
2076636509336117257,130,67.2,236,0.119,5
2077278335814492478,112,55.5,4763,0.118,0
2077500747005272281,22,8.0,68,0.118,2
2077510133387587820,25,9.3,127,0.118,0
2074905115539186088,236,123.0,6276,0.118,0
2078049684015153263,19,6.9,3107,0.118,0
2048243738884051031,44,16.3,60,0.117,1
2077143232929022370,15,5.4,294,0.116,11
2076658335554892181,124,62.7,1056,0.116,1
2074665775185662048,211,119.7,87,0.115,3
2077372276622700583,21,7.8,61,0.115,2
2075811168166551928,207,119.8,3178,0.115,0
2077795176567787707,65,24.4,1492,0.115,0
2076944401490702809,93,43.5,264,0.114,8
2077798457545216296,28,10.3,201,0.114,2
2077812075112321437,18,6.7,593,0.113,13
2077808560302661907,12,4.3,2396,0.113,3
2074614458802987287,262,121.5,3528,0.112,8
2077599931313832339,17,6.2,289,0.111,1
2077796516933120250,13,4.4,386,0.111,1
1948009523488121013,175,93.9,54,0.111,12
2075930053578227753,234,127.8,788,0.109,0
2077790477651218483,22,8.0,403,0.109,0
2077231116172304854,37,13.7,185,0.108,1
2077788920775905582,60,22.7,162,0.105,0
2077790708535030031,62,23.4,698,0.105,0
2078069430454505604,14,5.0,14922,0.105,1
2077957275398889915,40,14.7,5359,0.104,2
2077830890135167234,17,6.2,253,0.103,2
2077030353357955227,139,72.1,5391,0.103,0
2077166883850068079,64,24.1,117,0.103,8
2075907208093614523,203,119.7,4443,0.102,0
2077211783727559134,52,19.7,186,0.102,0
2077124168617754900,80,35.1,118,0.102,9
2077673252944564541,65,24.4,661,0.101,0
2075203318851281402,202,119.3,119,0.101,1
2077413344806425031,53,20.0,1629,0.101,1
2077036627231146072,124,62.7,3684,0.101,11
2075481638197231966,118,119.7,958,0.1,37
2074885045148418539,226,119.5,4192,0.1,0
2077372160843067831,60,22.6,2540,0.1,8
2077034383551221777,126,67.2,1012,0.099,0
2077824026366332929,14,5.1,493,0.099,5
2077519144916861096,47,17.4,223,0.099,8
2077742468590940221,31,11.5,1075,0.098,1
2077711063445856762,65,24.5,237,0.097,0
2077706015844237630,65,24.4,473,0.097,0
2074858050620412275,258,153.9,1593,0.097,6
2077469606541713535,54,20.4,299,0.097,2
2077504512349089964,64,24.1,333,0.096,0
2077807093608821069,15,5.4,437,0.096,0
2078006023873233019,33,12.1,15344,0.096,0
2077512823249174641,28,10.2,74,0.095,1
2074831074144764220,20,6.9,358,0.095,11
2077499369826238894,93,43.5,26362,0.095,0
2076912041508417915,125,63.3,485,0.095,0
2077676710451941546,20,7.3,342,0.094,2
2074936298067161363,88,121.2,2026,0.093,52
2075662339517641190,216,117.8,377,0.093,4
2075591403279638661,201,119.7,376,0.093,5
2077382023572762688,63,23.8,54,0.093,0
2077791730942791858,20,7.5,478,0.092,16
2077964205332808075,19,6.9,173,0.092,0
2076847982792581129,131,67.2,855,0.092,2
2077807250031185983,25,9.3,3146,0.092,4
2077503838915789087,64,24.1,196,0.092,2
2077793732380770313,64,24.1,5380,0.092,0
2077064147930345775,84,37.7,418,0.091,0
2076019316542017893,203,110.2,594,0.091,0
2074986303217680621,287,143.5,68950,0.091,0
2077495114079821905,20,7.3,342,0.091,0
2077523488911282488,27,10.1,298,0.091,0
2077423979162198243,60,22.6,684,0.089,8
2077502228676419859,45,16.6,628,0.089,2
2074751791707586864,27,8.2,673,0.089,0
2077384461805568363,87,39.5,717,0.088,0
2077362889808101625,65,24.4,69,0.087,27
2077881925910372805,19,6.9,900,0.087,2
2077794668188770384,53,20.0,6240,0.086,1
2077012943045120329,144,75.1,4952,0.086,0
2077410711081472435,53,20.1,243,0.086,1
2074784924893372526,237,120.5,139,0.086,5
2074603743836807245,230,119.8,2225,0.085,1
2077407403599929721,52,19.8,94,0.085,31
2077662900655624406,43,16.1,430,0.084,1
2077814412115902494,64,24.1,20528,0.083,0
2077727929832779917,65,24.4,240,0.083,4
2070056148322091396,216,118.2,156,0.083,1
2077855876946506151,37,13.9,2723,0.083,2
2076720166449070373,131,67.2,85,0.082,7
2077833814080979153,19,6.9,348,0.08,4
2077132344088011249,65,24.5,87,0.08,6
2077585080709439806,64,24.1,1220,0.08,2
2077162534398771351,91,41.9,822,0.079,20
2077798967077687673,26,9.4,744,0.079,12
2077606266386424189,36,13.3,140,0.079,0
2077807642123379190,27,10.0,1172,0.078,1
2075228375044489435,206,119.9,1437,0.077,0
2074901413021258051,263,123.7,61165,0.077,0
2077823305512329680,23,8.4,273,0.077,3
2077820569307775361,43,15.9,300,0.077,1
2075228561078669743,164,128.2,91,0.077,1
2077552281151742125,43,15.9,680,0.076,0
2077510229663662179,65,24.5,184,0.076,0
2077490116562505886,63,23.7,2365,0.076,0
2076643244507648262,142,73.9,553,0.076,3
2077515790866145581,65,24.5,237,0.076,2
2077804049534165401,39,14.4,1023,0.076,1
2074746583099273693,42,12.7,1420,0.076,1
2077957124986929228,21,7.7,1215,0.075,0
2077814344939663838,62,23.3,1312,0.075,0
2077868537889059212,32,11.9,120,0.075,14
2074943182140276772,201,118.9,95,0.074,1
2077827361928519761,59,22.3,1063,0.074,0
2077350082702123105,65,24.4,1348,0.074,6
2077475241526174033,63,23.7,7550,0.074,11
2077361383445008577,64,24.1,55,0.073,8
2077474388870345009,67,25.8,1632,0.072,0
2077838528910942394,34,12.6,636,0.072,25
2077840856908726718,19,6.9,350,0.071,12
2074898431315738796,230,119.8,1092,0.071,0
2077736069609525702,37,13.7,4012,0.071,4
2076920252437303727,122,61.6,830,0.07,0
2077835556336091175,49,18.2,3677,0.07,1
2077856270812664183,33,12.2,598,0.07,3
2077771387238838740,31,11.5,781,0.07,0
2077652154282590402,28,10.4,707,0.069,2
2077851790670795145,35,12.9,3064,0.069,0
2075327706989039881,227,128.9,9805,0.069,6
2077510059743920469,65,24.4,375,0.069,0
2077395364215247122,64,24.1,317,0.069,12
2075671273825337528,284,155.0,6895,0.068,7
2077305302219686180,84,37.7,2030,0.068,17
2077849177090867622,44,16.3,9155,0.068,0
2076677069577007330,168,89.5,3745,0.067,0
2075105802306666919,213,119.6,4876,0.067,1
2077770337979085304,38,14.0,1012,0.066,3
2077506902481580507,44,16.3,182,0.066,17
2077253979944505709,94,44.2,5775,0.066,5
2077358322890559688,65,24.4,680,0.066,6
2077835141024497787,61,22.9,5550,0.065,0
2077682636001055156,46,17.1,962,0.065,1
2075272635399696583,222,119.8,45051,0.065,8
2076996593077891136,129,65.6,3417,0.064,1
2077365102689366204,59,22.5,78,0.064,0
2077821949460226147,33,12.2,2568,0.064,0
2077788245119606807,39,14.4,3175,0.064,2
2077735180622561529,65,24.5,1315,0.062,0
2076383377821712815,172,92.1,501,0.062,8
2077785030957334679,65,24.5,4978,0.062,1
2075796696764747976,211,119.8,519,0.062,9
2077605755495047483,45,16.8,1115,0.062,2
2077641212769509787,31,11.5,698,0.062,18
2076467705553559699,152,80.0,937,0.062,8
2077701253593796738,41,15.1,1076,0.062,2
2077729200698438141,43,16.3,1860,0.061,3
2077805205811327403,54,20.4,25005,0.061,2
2077663072160800899,65,24.5,359,0.061,0
2077350885160583431,64,24.1,132,0.061,1
2077806496063107139,46,17.1,1805,0.06,9
2076262888520421705,192,103.9,868,0.06,9
2077720495504364031,65,24.5,414,0.06,1
2074364114550370814,254,118.0,1304,0.06,161
2077828892107178266,60,22.5,4723,0.059,17
2077775336990024085,43,15.9,3058,0.059,23
2076202347550626028,186,104.8,3065,0.059,2
2077817210874003679,40,15.0,561,0.059,14
2077699020839948343,44,16.3,3314,0.059,0
2077731346919690710,65,24.4,1232,0.059,0
2076304095988883458,211,114.6,2823,0.058,2
2077124349476143331,65,24.4,189,0.058,6
2077815456304415209,35,13.1,2033,0.057,17
2077536577975103542,44,16.3,142,0.056,6
2077426905272180880,60,22.6,359,0.056,2
2077810390059389112,59,22.3,1560,0.056,0
2076959054090428914,144,75.1,4779,0.056,0
2077854686883770624,58,21.8,5288,0.056,16
2077248807533003257,65,24.4,124,0.056,19
2077827002053058963,53,20.0,1885,0.055,10
2077814433762451646,58,21.9,1321,0.055,6
2077836866955469061,58,21.9,3178,0.055,16
2077892835391517100,33,12.2,4266,0.055,16
2074837614184542522,151,120.2,1252,0.054,0
2077765867295945039,49,18.2,836,0.054,11
2077737867007213908,55,20.8,523,0.054,19
2077077012502450579,64,24.1,294,0.054,1
2077326050036437243,93,43.5,3159,0.054,22
2077509882228437139,91,41.9,64152,0.054,20
2074932806325612837,227,128.8,228,0.053,12
2077690956279632162,55,20.8,437,0.053,24
2077923265528348753,26,9.6,20970,0.053,0
2074455091440951703,57,19.1,470,0.053,24
2077821133265555809,42,15.5,3854,0.053,7
2077809248554066201,47,17.4,5873,0.052,10
2077931229853127062,43,15.9,5979,0.052,0
2077187480437379158,113,56.2,37345,0.052,1
879024765289340929,214,119.8,286,0.052,1
2077419276504387826,52,19.7,686,0.052,0
2077937887291543983,33,12.2,9978,0.051,8
2077788587416850733,49,18.2,2395,0.051,3
2073880911242739907,241,120.0,99,0.051,126
2077531619871588538,46,17.1,1435,0.051,0
2076022713538539769,252,137.3,12996,0.05,22
2074932797660098733,213,119.8,3424,0.049,9
2077797426774053020,51,18.9,385,0.049,8
2077738486682001609,45,16.6,1933,0.049,3
2075162385539817538,217,120.3,5318,0.048,1
2077840753330429988,48,17.8,4714,0.048,9
2076548470094139718,191,103.3,3246,0.048,4
2077742688816800122,47,17.4,1066,0.048,8
2077781011522326598,46,17.1,1985,0.048,11
2077811776847323365,30,11.1,2287,0.047,4
2077717999499313386,37,13.7,1870,0.047,11
2077419672954155059,57,21.5,664,0.047,21
2077806504728535213,46,17.1,2895,0.047,9
2077010983189365082,121,61.0,2268,0.047,0
2077543237020168499,35,12.9,1012,0.047,11
2077490596541788255,45,16.6,2569,0.046,4
2077785021729980825,51,18.9,2134,0.046,14
2074896671583187030,259,127.0,7227,0.046,4
2077790097810899380,58,21.9,635,0.046,19
2077630375854030897,35,12.9,1185,0.046,29
2074893775223267458,247,119.9,6184,0.045,35
2077836653461225836,34,12.5,1119,0.045,10
2075807748848062609,209,119.6,1376,0.044,17
2077790905134670129,56,21.2,1069,0.044,20
2074861392750883266,224,119.7,2209,0.044,4
2077782631287013475,54,20.4,15178,0.044,2
2077818463725257037,51,18.9,4549,0.044,13
2077564030600790357,62,23.4,3285,0.043,10
2077842805859254466,58,21.9,8585,0.043,18
2077781493225570495,57,21.5,2102,0.043,20
2077554618507125180,62,23.4,2789,0.043,10
2077749541051187585,55,20.8,1373,0.042,13
2077840006039609805,56,21.2,6868,0.042,14
2077541128329478588,62,23.4,5508,0.042,10
2077037818296021330,134,69.0,3428,0.042,13
2077786899972808734,58,21.9,4309,0.042,16
2077827842767757451,40,14.8,43830,0.042,4
2077600605569438159,34,12.5,4446,0.042,13
2074784303838613669,294,145.3,36813,0.04,17
2076310555246113019,189,102.1,1042,0.04,5
2077892922809164176,42,15.5,1262,0.04,1
2077796661099634994,49,18.2,1636,0.039,12
2077677682376982988,47,17.4,12645,0.039,18
2075251254989656457,357,190.2,3682,0.039,18
2075732030860485093,260,144.3,14371,0.039,18
2075224621859717438,219,119.7,1683,0.039,24
2074597676285329760,174,71.7,19871,0.038,4
2077812970659148154,46,17.1,2587,0.038,13
2075708119682785589,206,111.9,469,0.038,18
2074645566907170873,262,121.9,5665,0.037,11
2074561586446860581,443,219.1,6331,0.037,1
2077432770507182401,60,22.6,1005,0.037,14
2074962891724173332,239,124.1,173175,0.036,13
2076751062925504983,143,79.6,47398,0.036,0
2074579990893449427,433,215.9,3540,0.036,20
2063991402925797415,254,118.0,411,0.036,24
2077215426212487223,60,22.7,576,0.035,8
2076584110185668923,174,93.3,913,0.035,27
2077393641895612574,57,21.5,2181,0.035,21
2077309740665782578,42,15.5,1687,0.034,29
2074480283919823074,261,121.2,93934,0.034,0
2077416462659276966,58,21.9,1229,0.033,19
2077162584063766846,61,23.0,1980,0.032,2
2070131268356907273,263,123.2,415,0.031,141
2077185422216577398,60,22.7,580,0.028,1
2075007537095852247,111,119.7,39698,0.024,19
