text,label
Wie nach jeder schrecklichen Tat der #Mob in den,0
Weshalb schreibt ihr in jeder Stellungnahme:,0
Werde jetzt Hatespeech betreiben bis ich gesperrt werde,0
was soll diese Beleidigung? Schluss mit #hatespeech !,0
Was ist eigentlich deine Meinung zur Rayk Anders Doku?,0
We meet students - Zusammen mit Philosophie-Lehramtsstudierenden der #UniRostock entwickeln wir in einem Didaktik-Seminar eine Unterrichtseinheit zum Thema #HateSpeech . Im Sommer kommt dann das Unterrichtsmodul f r Lehrer*innen. pic.twitter.com/7e9mIezVkt,0
We in NASA demand the release of honorable kajwang Simba Arati and Nyakundi our boy child president #ReleaseTJKajwang #FreeNyakundi #FreeArati #FreedomIsComing,0
Waren heute im MediaMarkt eine PS4 kaufen. Sind auch an dem Zeug vorbeigelaufen und haben uns total dr ber lustig gemacht...,0
Wala naman silang ginagawa sa'yo then ganyan ka? Sila pa yung palalabasin mong mali? Come on ppl ikaw na nga yung mali ikaw pa yung naggagaling galingan. Kung sa klase ikaw yung PABIDA.,0
Wah jangan kalah sebelum berperang dong. Justru itu kesempatan masih banyak kan? Banget malah. Jangan sia-siain waktu work hard to chase your dreams and never give up.,0
Volksverhetzung und Hasspostings sind keine Bagatelldelikte keine konsequenzfreie Meinungs u erung und kein legitimes politisches Werkzeug. Nein auch nicht im Internet. #Reconquistainternet #HateSpeech #WirErklaerenDeutschland,0
Ujaran Kebencian adalah Ujaran yang menyerang seseorang atau suatu kelompok dengan didasarkan pada suatu karakteristik seperti agama ras gender dan orientasi seksual. #hatespeech #antihoax #antisara #poldajateng pic.twitter.com/ebch7OpitH,0
U jeedaa lacaqtii waxay ahayd inu lacaqtiisa doorshada ka geeshay soo ceshto ka bacdna,0
Singen gegen Homophobie & ein Land lacht! In schwedischen Helsingborg wird ein Hassbrief gegen #LGBTQ als Kantate aufgef hrt #LGBTI #LGBTPROUD #Sverige #HateSpeech #nohate,0
Sind #Internet und #Digitalisierung Gefahren f r die #Demokratie ? Prof. Sch nemann ordnet die Diskussion ein:,0
Lucke ist mir sehr unsympathisch und geht mir auf die Eier genau wie Frau Dreyer. Ich hoffe das war jetzt kein #HateSpeech . #illner,0
Keine Verbesserung der Rechtsverfolgung bei #hatespeech durch das #NetzDG kritisiert @user ( @user ) | #rp18 #stage5 pic.twitter.com/k4YY4nr829,0
Keine Antwort von Jens weil du bist ein privilegierter bigotter ignoranter Faschist und jetzt ab in den Knast mit dir f r Hatespeech,0
Keine Ahnung wer will ein ganzes Bundesland bombardiert sehen? #menschfeindlichkeit #hatespeech #terror #Hypocrite,0
hallo ich hab was gefragt oder macht ihr wieder Screenshots davon um das dann auf ner Tagung der B ll Stiftung auf die Powerpoint zu klatschen und kopfsch ttelnd ber Hatespeech zu faseln,0
Hallo @user eig bin ich ein gro er Fan von dir und deinen Videos und die Doku fand ich ab ca der 2. H lfte teilweise echt gelungen jedoch habt ihr zu einseitig ber imp dorian und die DVA berichtet und seid 0 auf eine m gliche korrekte Definition von hatespeech (1/2),0
Hallo ich bin Simone Rafael leider gab es die Stasi nicht mehr so ging ich zu @user der Stiftung der Schande dort konnte ich meinen Charakter ebenso gut ausleben,0
bicara POLITIK yang bagaimana ? mendiskreditkan lawan politik yg didukung apakah layak dijadikan konsumsi publik oleh seorang pemuka agama yg seharusnya mengayomi dan mendamaikan umat ? selama ini pembicaraan POLITIKnya itu tdk lbh dari skedar hatespeech .,0
Berlapis Fasalnya Nih Ustad.. UU ITE Perbuatan Tidak Menyenangkan Congor Bau Mengancam Mengancurin Intimidasi Mengemplang Mengganggu Ketertiban Umum/Macet Memprovokasi Org Lain Turut Serta Dll Dsbnya #HateSpeech Keluar Penjara Diprediksi Min.Thn 2030!!,0
Berdebat? Apa untungnya? Apalagi dengan akun palsu yg notabenenya diperuntukkan buat stalking berdebat hatespeech yg ga mau munculin dirinya bisa saja di tracking Ip Address dia Online Terakhir alamatnya...,0
Bekannte #Doppelmoral beim Thema #Hatespeech,0
Bei Spotify ber B hmi wegen Hatespeech beschweren! Ist ja nicht sehr h flich von ihm was er da in seinem Podcast sagt.,0
Bei ihrem Englischkenntnis w rde ich es auch nicht! #Hatespeech,0
Bei bundesweit 29 Verd chtigen wurden am Donnerstag Wohnungen wegen #hatespeech durchsucht. Mit lteren Aussagen auch von mir..,0
beeindruckende Doku von @user zu #Hatespeech und rechten Trollen und wie sie das Internet manipulieren,0
Beamte durchsuchen Wohnungen von #HateSpeech -Schreibern.,0
Banyak Provokasi Banyak HOAX Banyak Hatespeech Banyak Farming Semoga kita semua jadi Nitijen yang Cerdas dalam menelaah setiap informasi di Dumay,0
Xaayne hyoonax. Nay' nanaaxkwan'aa... Haawtokme horuura' piik paara *huu'arotnga. (I dont know. But listen... Maybe-we always throw water on-*anger-person.) #tongvatalk,0
Wow wirklich wow. Ich bin absolut kein fan von no hatespeech aber sowas geht gar nicht. Leute nehmt euch mal ein bisschen zusammen,0
Woran machen Sie es fest dass es sich hierbei um Linksradikale handelt? Und wo ist hier der #Hatespeech ?,0
Woooah so erwachsene Diskussion ber Hatespeech und FUNK Erstmal 1 Bier f r die Nerven weil keine Kraft mehr #Soyboy #lol,0
Wonach suchen die Cops eig. bei den Hausdurchsuchungen gegen #Hatespeech ?,0
Willst du dir meinen Kommentar vielleicht noch einmal durchlesen? Ich habe nach der Definition von Hass speziell nach der von,0
VF Plus verkla weermagoffisier by Gelykheidshof oor haatspraak #HateSpeech @user :,0
Unang beses maglaro ni Kai para sa Gilas sa Filoil Cup.,0
Un utilisateur anonyme de #Twitter condamn pour la 1er fois en #Belgique . @user #Hatespeech,0
Twitterkommentar: #Sachlichkeit sei ein Luxus der Privilegierten. Coole Ausrede f r Hatespeech und P belei...,0
Tres grandes preguntas a Zuckerberg ahora: - Facebook permite el hatespeech ? C mo lo definir a? - Es FB consciente de la adicci n en los j venes qu hace frente a esto? - Conoce de alg n caso en que una consultora haya estudiado c mo generar dopamina en sus innovaciones?,0
Toen hij zei dat wij een dwaas van hem probeerden te maken kon ik slechts mompelen dat de Schepper ons al voor geweest was. - Ilka Chase pic.twitter.com/foreVg8uu1,0
TIBETE voc a minha segunda P tria @user @user @user @user um dia o TIBETE ser livre da @user meus Irm os e Irm s @user e todos poderemos voltar para casa sem estar sob a mira de armas de soldados chineses,0
Bewegender und aufr ttelnder Talk von @user ber seinen 2jahrigen Kampf gegen #HateSpeech und Verleumdung #rp18,2
Wah kena kan tuh arseto ini juga mantan narapidana dalam kepemilikan psikotropika jenis sabu tahun 2008 dan divonis penjara selama 10 bulan penjara #FitnahUndanganPresiden #Tercyduk #FitnahArseto #HateSpeech,1
yang kemarin kasus hatespeech yang dilaporin sama Pak Mahfud gimana kabarnya...? jadi dia ngelaporin km ke mabes polri..?,1
Y wld NASA kill (Nyongo's relative)Chris Msando who'd repel rigging 4 them ?? #RIPMsando chris musando Wafula Chebukati @user pic.twitter.com/FAc6TMyQxo,1
US-Studie: antimuslimische bergriffe stiegen nach entsprechenden Tweets von Trump deutlich an #hatecrime #hatespeech,0
Sisi Kama #Arsenal fans won't accept these #liverpoolarsenal result ni #VifarangaVyaKompyuta ' Dstv wafungue decoders for scrutiny. pic.twitter.com/pyoGCLGH0F,0
Sind sie Yakuza? Nein die Chefs einer Firma die die Angestellte illegal behandeln haben. Die Werkschaft haben von der Firma dar ber schwebt und die Chefs haben sie beleidigt. #Japanisch #Japan #Yakuza #HateSpeech,0
Sind Horrorfilme eigentlich auch Hatespeech @user ? #netzDG,0
Kenne deine* Feind*in. In unserem Leitfaden f r Journalist*innen und Medienschaffende zum Umgang mit #HateSpeech findest Du auch eine #Troll -Typologie. Jetzt runterladen oder bei uns bestellen.,0
Keinen Sitzplatz mehr bekommen - super Resonanz! #HateSpeech pic.twitter.com/2r5Pv6nUqv,0
Keine Sorge die rechte Hass- und Hetzbewegung wird sich irgendwann selbst dezimieren. Denn Hass ist sehr gesundheitssch dlich: Schlaganfall Herzinfarkt Magengeschw r sind Beispiele f r m gliche Folgen dieser extremen negativen Energie. #hatespeech,0
Kalau gue ga suka sama gimmick memotoran Pak Jokowi lengkap dengan pernak-perniknya itu hak gue kan ya? Kalau gue menjelaskan alasan ketidaksukaan gue gapapa juga kan ya? Terus kalau nanti orang setuju dengan alasan ketidaksukaan gue itu juga gapapakan? Ga ada hatespeech kan?,0
Kadang merasa jahat. Masih sering jadi netizen yg suka jd hatespeech . Abis itu istigfar lagi hft. Manusia oh manusia. Mungkin harus dengar lagu opic,0
Hansel @user heult rum weil ihn der Hass getroffen hat. Dass er selbst der Grund des Hasses ist ihn h chstselbst verursacht das kommt dem Seppl mit der senffarbenen Deppenm tze nicht in den Sinn. Wie auch so ganz ohne Hirn? #hatespeech pic.twitter.com/bjaW9nfWZB,0
Hamburger Justizsenator will Gesetz gegen #Hassbotschaften im Netz nachbessern -,0
Hallloooo ich bins eure cruelty free Makeup Bloggerin! :)) Heute versuche ich euch zum Kauf von NYX zu animieren weil die mir Geld daf r geben. Wie? NYX lassen in China produzieren wo Tierversuche noch immer total normal sind? DAS IST HATESPEECH ! GEMELDET UND GEBLOCKT!,0
Bezweifle ich. Gewalt und HateSpeech ist die Folge der Umw lzungen zu den Zeitpunkten und somit eine Konsequenz und keine Ursache. Die Studie und Zahlen habe ich schon mehrfach gesehen. Gesamtgesellschaftlich nur diese beiden Faktoren gegeneinander halten... naja,0
bevor ki nicht intelligenter als der durchschnittliche deutsche twitteruser ist wird es hatespeech und ironie oder gar kritik an hatespeech nicht auseinanderhalten k nnen. und sobald die ki auf dem niveau ist haben wir eh ganz anderer probleme,0
Bevor ich bestelle: wer w rde welche haben wollen? (Stimmungsbild) --- #noHate #HateSpeech #noafd Kein: #Rassismus #Antisemitismus #Sexismus #Faschismus #Fremdenfeindlichkeit #Hass #Grenzen #Homophobie Keine #Diskussion ! unverletzliche & unver u erlichen Menschenrechte pic.twitter.com/hf6JtkLPRz,0
Besonders HipHop und Rockmusik sind von der Unterwanderung durch Extremisten gef hrdet weil diese Musikstile die Jugendkultur pr gen und eine gewisse Au enseiterposition haben i.Vgl. zu Mainstream. Darum haben vor allem Rapper eine besondere Verantwortung #HateSpeech #Echo2018,0
Bericht zeigt erstmals wie #Facebook gegen Gewaltfotos und #HateSpeech vorgeht,0
Berbagai cara di gunakan untuk membungkam umat Islam.. Mulai dengan melabelkan : intoleran Anti NKRI Teroris Radikal ISIS Ternyata Saracen cuma Hoak. Apa kabar dengan MCA yang di labelkan penebar hoak dan hatespeech ?? Rezim ini sangat jahat terhadap umat Islam..,0
Beleidigen verleumden drohen: Hetzer organisieren sich im Netz. Daf r bestraft werden sie fast nie. #HateSpeech hat f r die L nder noch keine Priorit t. Das wollen @user @user und #ichbinhier ndern. Bitter n tig? Dann unterzeichne den Appell,0
Beim (leider mittlerweile normalen) Hatespeech usw. Kann ich es leider verstehen.,0
Bei vielen l sst sich da sicher ganz leicht ein 'R ckfall' in 'alte Muster' bewirken wenn das #Netzwerk erst mal wei wer im Moment auf #Bew hrung ist! SO w rden diese uns glichen 'Diskussionen' mit den Hassk pfen doch gleich viel mehr Sinn machen! #NoHate #HateSpeech pic.twitter.com/8T3bDDsXiR,0
Bei tropischen Temperaturen habe ich mich ber #Hass und #hatespeech in #Onlinegames unterhalten & wieso diese aus der gesamten gesellschaftlichen Diskussion ausgeklammert werden! Ein Reporter hat mir dazu seine Recherche vorgelegt leider f r mich wenig berraschend :(. pic.twitter.com/VpgCMtNYOp,0
Bei der Tagesschau hat es eine Razzia gegeben? Und warum d rfen die immer noch senden? Bedeutet das das die Beh rden ausgerechnet bei der Tagesschau nichts zum Thema Volksverhetzung und #hatespeech gefunden haben? Da hatte wohl ein Generalstaatsanwalt noch die Finger mit drin?,0
Beeindruckend @user mit hilfreichen Tipps gegen #HateSpeech #StopCybermobbing #rp18 bei Station Berlin,0
Y do they pick fights with Nyakundi ? Wangari Mathai is no longer a role model for young ghels its akina Mutoko Lilian Muli Huddah. Wapunguze hormones kwanza,0
Wurde schon gerufen aber seit dem hatespeech Gesetz sind die sehr besch ftigt,0
Whut hahahahhahaha En wie is dat die zogezegd gevangenisstraf zou krijgen? Lijkt me onmogelijk want zelfs offline krijg je enkel boete voor hatespeech . Zou in ieder geval een primeurke zijn.,0
Unentspannte menschenfeindliche Hysteriker? Spricht Jutta #Ditfurth da von sich selbst? #Emp rung #hatespeech #dieandernsindalleb seunddoof #selbstetikettierungalspublicintellectualistpeinlich,0
Tja was die #FDP daraus macht sieht man ganz gut ... Wie war das nochmals mit dem Glashaus? @user Sind euch eure 9% tats chlich derma en zu Kopf gestiegen? #Anschlag #Halbmarathon #Berlin #Hetze #HateSpeech,0
Tja Hatespeech ist nicht gleich Hatespeech . Soweit reicht die Gleichstellung dann doch nicht.,0
Titulo: agora que o caht acalmou podemos voltar ao horizon chase ( _ ) Jogo: Horizon Chase Menssagem: Live On pessoal!!!!,0
