post_id,stratum,text,label_gemini,label_claude,rationale_gemini,rationale_claude,hate_involved
2073720502833565819,p_hate_top,Wamunyoro tribal bigots must referee our referee!,neither,hate,"Political criticism of a faction using the moniker 'Wamunyoro' and calling them 'tribal bigots', without attacking an ethnic group as a whole.",'Wamunyoro tribal bigots' collectively attributes the characteristic of tribal bigotry to the entire Wamunyoro community - NCIC collective negative attribution.,True
2078283027940000223,p_hate_top,@Dennis_Itumbi02 The tone you set is what the citizens are against. No one is against anyone getting what is rightfully theirs. Ruto has more Kikuyus Uhuru but Gachagua ndio mkabila. Mkaita wamama malaya na watoto chokora. Ni tabia zenyu watu hawapendi ndio tunasema malizeni muende na mtaenda.,neither,hate,Criticizes a politician's tone and past offensive remarks ('Mkaita wamama malaya') without expressing hate or offense directly.,'Mkaita wamama malaya na watoto chokora' - 'you called the women prostitutes and children street kids' attributes degrading collective conduct to the Kikuyu bloc ('watu') and transfers blame for Gachagua's alleged tribalism onto the community's behaviour.,True
2076615376310305239,p_hate_top,"I warned you, oh lazy, cheating, Kenyans!",hate,neither,"Attributes negative characteristics collectively to a national origin group: 'lazy, cheating, Kenyans!'.","'Lazy, cheating Kenyans' is a broad national generalisation without ethnic specificity; borderline but does not meet the NCIC ethnic-contempt threshold against a defined protected group.",True
2075457580390875238,p_offensive_top,"Says an ignoramus! Hiyo Western world ili withdraw USAID, sai hamna ARVs Nyanza, bedrock of hechaivi Same Western World ndio ina wa loan, hadi hii Nyota fund mnadhani ni ya Kenya Kwanza ni grant yao Jonasi ame take trips ngapi to the Western world? Fucking idiot, gerrout",hate,offensive,Equating the Nyanza region with HIV ('bedrock of hechaivi') stigmatises the community living there.,"'ignoramus', 'fucking idiot' - abusive language aimed at a named individual (Jonasi) and the addressee; political argument with crude insults, no group contempt.",True
2072573805118234682,p_hate_top,"@WuodAbilla Luos were being killed by KK government while in opposition, they are still being killed while in broad-based government. They will be massacred post-2027 after electing Ruto. No Raila to kneel in front of Ruto to stop the carnage. They will see bad things here in front.",neither,hate,"Predicts and warns of political violence against a community ('They will be massacred'), rather than inciting or celebrating it.",'They will be massacred post-2027' is a prediction/threat of ethnic-targeted mass violence against the Luo community as a group.,True
2075315988665352659,p_hate_top,Luyhas are waking up to the reality that Sifuna is a Kikuyu/Gachagua puppet to return power to Mt. Kenya and continue Kikuyu ethnic domination!,neither,hate,"Tribal arithmetic and political coalition talk regarding 'Kikuyu ethnic domination', assessing political moves rather than expressing ethnic hatred.",'Continue Kikuyu ethnic domination' attributes a collective domination agenda to the Kikuyu community as a group - NCIC collective contempt even absent a violence call.,True
2078100654921523460,p_hate_top,@JasonSimmo86712 Just replace them with Christians in there country and see what happens. We're being led astray by taking our freedoms too literally. We must exercise better discretion with foreigners.,neither,hate,General commentary on religion and foreigners without explicit collective contempt or incitement.,'Replace them with Christians' and 'better discretion with foreigners' frames a non-Christian outgroup as a threat to freedoms - collective exclusionary contempt on religious/national-origin grounds.,True
2075567997129806251,p_hate_top,"""Hakuna Mluhya anapinga Sifuna. Wale wanampinga kama Musalia si mluhya, ni mnandi kutoka Chepsenoi...Wetangula ni mganda kutoka Nalondo...Salasya na yeye mkikuyu. Nyinyi mmeona wapi mluhya ako na lips za red kama za Salasya!""~Angry Kakamega man",neither,hate,Quoting an angry resident's ethnic gatekeeping and stereotypes without expressing them as the author's stance.,Quoted speech excludes named rivals from Luhya identity by ethnic sub-group origin and mocks Salasya with a physical characteristic tied to Kikuyu identity - attributing ethnic inauthenticity is collective contempt under NCIC; quoting without condemnation makes the author responsible for the content.,True
2077857079960752193,p_hate_top,"@M_deno_ @itskipronoh Kikuyu hatuna akili, but ask yourself, ushawaiskia UDA imekuja campaigns huko? look at Kimani's fb page on what he is doing kwa ground then anakuja huku twitter kuimba tutam. bora anafanya kazi, MP anarudi but asitwambie shiet",neither,hate,"Sarcastic, in-group political frustration ('Kikuyu hatuna akili') rather than an external attack expressing ethnic contempt.",'Kikuyu hatuna akili' collectively attributes lack of intelligence to the Kikuyu community - NCIC contempt even though the speaker appears to self-identify as Kikuyu; collective negative attribution to the group is hate under the standard.,True
2077986296639734158,random_control,@MoraraKebaso Rubishhh peleka ukisii Yako huko wewe ndio umekua ukifight Sifuna last week yet you know how popular he is on ground anything you say from that moment on I take you as a dangerous TROJAN PLANTED IN JUBILEE,hate,neither,"Attacks an individual using an ethnic marker ('peleka ukisii Yako huko'), converting the attack into ethnic contempt.","'Peleka ukisii yako huko' - 'go back to Kisii' addressed to an individual could be dismissive but reads in context as factional political insult, not collective contempt for the Kisii community; borderline, lower severity chosen.",True
2070957004017774874,p_hate_top,@dauticn @HammerHamm026 Ol Kalou is a Samburu name. These are guys who stole someone's land.,hate,neither,Collectivises the crime of land theft onto the current inhabitants of the area as a group ('These are guys who stole someone's land').,"'These are guys who stole someone's land' - a disputed historical land claim about individuals in a locality, not a collective ethnic condemnation.",True
2076658020180709846,p_hate_top,"@0792028447jack @DrDennisOuma Mimi chakisii, kasongo is the easiest opponent to defeat, luos dont vote 😁😂😂matiangi is the 6th sijui mtafanya aje once akiwa sworn in ju we're neighbours, kisii maendeleo itakua tele na sehemu sote ke,mtapaki opposition na kales (the nilotes)",neither,hate,"Routine ethnic-bloc electoral banter ('luos dont vote', 'mtapaki opposition na kales') without expressing hatred, ridicule, or expulsion.","'kales (the nilotes)' framed as an out-group destined for opposition, combined with the implication that Kisii development comes at their expense; the parenthetical ethnic othering of Kalenjin as a bloc crosses into group-based contempt under the NCIC standard.",True
2074531230570151944,p_hate_top,"@Honcalebamisi @gikundamarangu The mountain is indeed an expensive bride in every conceivable way! You can rent a Kikuyu, but you can't fully succeed to buy one!",neither,hate,"Uses a transactional metaphor ('rent a Kikuyu') in the context of political loyalty, which borders on stereotyping but lacks clear NCIC-level contempt or hostility.","'You can rent a Kikuyu, but you can't fully succeed to buy one' - attributes collective mercenary/treacherous character to the Kikuyu community as a group; ethnic contempt under the NCIC standard.",True
2074713745121493105,p_hate_top,@lifeofmshaba Samia hakutakiwa kua Rais ni takataka 🚮 na bado wawekezaji wa maana hawawezi kuja watakuja waarabu wachina wale ambao hawaachi faida kwa nchi kwasababu mchina now haachi kitu akija na mradi anakuja na Bima zake anakua broker yeye yeye so haachi kitu bongo na TRA wapo tu,offensive,hate,'ni takataka' - abusive personal attack describing a political leader as rubbish.,'Samia hakutakiwa kua Rais ni takataka' combined with collective disparagement of Arab and Chinese investors as those 'who leave nothing in the country' attributes negative economic characteristics to national/ethnic groups under the NCIC standard.,True
2075983763452883379,p_hate_top,@sophie_wa_Thika Kikuyus 😂😂😂 Ruto ndio Dawa yenu,neither,hate,"A political taunt ('Ruto ndio dawa yenu') directed at an ethnic group, but falls short of clear contempt, harm, or exclusion under the NCIC standard.","'Kikuyus 😂😂😂 Ruto ndio Dawa yenu' - ridicules the Kikuyu community collectively, implying they need 'medicine'/correction as a group; contempt applied to the ethnicity, not just to Ruto.",True
2077291502028329037,p_hate_top,"@Pchumba__sawe 25% Nandi,20% keiyo,15% kipsigis n Marakwet n Tugen. 40% Luhya/Kikuyu/Luos. Mandago got in thro Raila. Murkomen ashike makende ya Oburu with pliers ya Harambee house for kavirondo n we add In laws Kikuyu tunangoea mandago arudi huko Soi alime mahindi. Ngojea hapo",offensive,hate,"Crude sexual language ('ashike makende ya Oburu') mixed with ethnic electoral arithmetic, but the vulgarity is aimed at specific individuals.","'kavirondo' is a historically derogatory colonial-era slur for the Luo community, deployed alongside dismissive framing and expulsion language ('arudi huko Soi alime mahindi').",True
2074546669870346563,p_hate_top,"@rigathi Huu upusu wa uguruki,,, Diaspora gani? 6th ya viusasa, nobody wants anything to do with Kikuyu president or Kikuyu project. You fear being in nbi,unajua kasongo,umekuwa na msongo wa mawazo(Dorcas combined project=DCP).",neither,hate,"'nobody wants anything to do with Kikuyu president' is robust political rejection, not collective ethnic contempt.",'Nobody wants anything to do with Kikuyu president or Kikuyu project' declares the entire Kikuyu community unfit for political leadership - NCIC collective exclusion.,True
2075755444837233030,p_hate_top,"@SanghamitraLIVE Fancy English will neutralise the fact that you were a tmchee shit. Same Islamic party of tmc responsible for sandeshkhalli, Murshidabad violence and thousands of Hindus killing and rape in last 15 specially in pre and post election violence.",offensive,hate,"'tmchee shit' is vulgar abuse aimed at an individual/party in an Indian context, not Kenyan ethnic hate.",'Islamic party responsible for thousands of Hindus killing and rape' collectively attributes mass violence and atrocity to a religious-political community - group-level incitement.,True
2077118713535303901,p_hate_top,@maryiajoan @Saharasenior How did Kikuyus forget this massacre? How did they give power to the killer who raped their women and killed their fathers? I know why! Pride and Hate of Raila is what has made you drown! Learn or perish!,neither,hate,"Criticises Kikuyu voting choices and historical memory ('Pride and Hate of Raila'), but stops short of NCIC ethnic contempt.","'Pride and Hate of Raila is what has made you drown' collectively attributes a fatal character flaw (pride, hatred) to Kikuyus as a group and commands them to 'Learn or perish' - NCIC collective contempt with a veiled threat.",True
2078364957251432535,p_hate_top,@ntvkenya DONT impose Kikuyu tyranny on Kenya. Liberate central Kenya first from the Gachagua dictatorship before imposing your shareholder mind set on Kenya again. You must also GO. Vote yourselves out and don't try to sneak in behind Sifuna or Kalonzo. We are tayad!,neither,hate,"'Kikuyu tyranny' and 'shareholder mind set' used here as harsh political criticism of dominance, rather than dehumanising contempt.","'Kikuyu tyranny' and 'don't try to sneak in behind Sifuna or Kalonzo' transfers the sins of named politicians onto the entire Kikuyu community, declaring them unfit to hold power and demanding their exclusion.",True
2076374704286535912,p_hate_top,@AokoOtieno_ Tutam luo brokers ndio hao with zero development for their people as sharp regions eat big,neither,hate,"Criticising regional politicians ('Luo brokers') for lack of development, an ordinary political grievance.","'Luo brokers with zero development for their people' collectively attributes failure and self-serving behaviour to Luo political figures as a community bloc, stirring ethnic contempt under the NCIC standard.",True
2077265118006554785,p_offensive_top,@iamblinder18 @HammerHamm026 Si watetei kama mjinga.Tena lazima utaje hao shidwe mnarudisha inchi na tiko 21st century,offensive,neither,"Mild personal abuse ('mjinga', 'shidwe') in a political argument, not directed at any protected group.",Frustrated political argument calling an interlocutor foolish; personal rebuke with no ethnic targeting.,False
2074440095537549525,p_offensive_top,"@C_NyaKundiH Matiang'i is a well known corrupt ,an arrogant fellah who's good at ignoring court orders!. These are red flags which Kenyans should not ignore when it comes to election!.. They ignored red flags from Uhuru then Ruto, and today Kenya is at it's worst moment ever!.",neither,offensive,Strong but ordinary political criticism of a leader's track record and character.,"'corrupt', 'arrogant fellah who ignores court orders' - pointed criticism of named politician Matiang'i as an individual, no ethnic transfer.",False
2075830938345390208,p_offensive_top,"@georgediano kwanza Ogada aki, mi hucheka tu. time ya handshake alikuwa na kiburi ajab, maandamano alikuwa na matusi na kejeli mpaka aka abductiwa. saa hii amenyonya msolombo ya KK govt mpaka gag reflux imepotea",offensive,neither,'amenyonya msolombo... mpaka gag reflux imepotea' - sexually crude and degrading language aimed at an individual.,Commentary mocking a named individual (Ogada) for political opportunism across different administrations; personal ridicule with no ethnic group targeted.,False
2075564016030613982,lexicon,"@HonOscarSudi Build Kenya industries and it will ubsolve all its youth, giving them livelihood and pensions at old age. 25k siku moja ama mshahara for the rest of our careers?...Ubaya ni mnafikiriaga kama mende, kukula tu! #RutoMustGo",offensive,neither,"'mnafikiriaga kama mende' - uses a coded/dehumanising pest term ('mende'), but the target is a politician and his allies, not an ethnic group.","'mnafikiriaga kama mende, kukula tu' is directed at politicians/government as a collective for short-sightedness, not at an ethnic community; the broader post is policy criticism with #RutoMustGo.",False
2076366180521066509,p_hate_top,RT @NyabasaDanvas: Gachagua is playing Rutos politics of planting idiots around mt Kenya so that he can control them!!,offensive,neither,'planting idiots' - abusive language aimed at politicians as individuals.,"Criticism of Gachagua's alleged political strategy of installing 'idiots around Mt Kenya' - targets named politicians and their tactics, not the Mt Kenya community as a group.",False
2075965221475127371,p_hate_top,"Kiraitu Murungi is one of those incoherent, corrupt and idiotic Kenyans who were celebrated only because Kenyans are gullible and suffer from memory loss. As the cabinet minister for energy in Mwai Kibaki’s regime, he was more corrupt than a raccoon. He continued mismanaging public resources as governor for Meru. Now, he is peddling myths because of a sinecure chairmanship of a collapsing state corporation. These raccoons should be jailed as an example to the people that corruption should not benefit the corrupt. Shame on you, Kiraitu! #RutoMustGo",offensive,neither,"Extended personal abuse against a single politician: 'incoherent, corrupt and idiotic Kenyans', 'more corrupt than a raccoon'.","'These raccoons should be jailed' is harsh but targets named and implied corrupt politicians as individuals; 'raccoon' is used as an individual insult for corrupt actors, not a dehumanising label for an ethnic group.",False
2070128385582420217,p_hate_top,nikiona bado tukona siku 412 ndo turudishe kasongo home napiga wall head mara mia,neither,offensive,Expression of political frustration about the time left until the next election.,'napiga wall head mara mia' - hyperbolic self-directed frustration about a political timeline; crude but aimed at no ethnic group.,False
2074421916664766632,p_offensive_top,@kingethuk Deputy haiwezi we can’t back old dogs sifuna Tosha,neither,offensive,"'old dogs' is a common political idiom for veteran politicians, not an offensive slur.","'old dogs' is a personal insult directed at named politicians (Sifuna), not an ethnic group.",False
2074562026295160922,p_hate_top,@jmuragengunjiri Kweli wananchi ndio wajinga. For how long will you accepted to be played on? Kasongo shame on you.,neither,offensive,"Frustration with citizens in general ('wananchi ndio wajinga'), no protected group targeted.","'wananchi ndio wajinga' is dismissive but targets the general public and a named individual (Kasongo), not any protected group.",False
2073695682620276759,p_hate_top,@HonOscarSudi Thats pure truth. You guys dont know wamunyoro unless you have worked with him closely. Why are the close guys fleeing one by one from him? The guy is a black mamba same venome like Kasongo. Murima be careful not place him near power. Moi protege,offensive,neither,"Calls an individual politician a 'black mamba' (nyoka), which is a common insult for an individual.","'Black mamba same venom like Kasongo' - snake metaphor applied to a named individual Wamunyoro as a personal character attack, no ethnic group targeted.",False
2074171895155425550,p_offensive_top,"@darrenvickmell3 Bwana , hii ass nilikua niilete home mashaipost",offensive,neither,Contains vulgar/sexual crudeness ('hii ass') unrelated to any protected group.,Unintelligible/ambiguous personal comment; no discernible group attack.,False
2073462829835842029,p_hate_top,"@magwaz3 Utajua hujui, kasongo fucked us long time ago",offensive,neither,"'Utajua hujui' is a veiled threat used here as personal abuse ('fucked us') against an individual, not an ethnic group.","'Utajua hujui' is directed at an individual ('kasongo fucked us') as a personal grievance, not an ethnic group; the NCIC-flagged phrase targets a named individual in context.",False
2075123581617340687,nli_tail,"@Goddie_Ke First female president,my foot 😀😀. But any with the current voter can happen since the same voter elected kasongo as god fearing thief, our thief.",neither,offensive,Criticism of voters ('elected kasongo as god fearing thief') but not grounded in a protected characteristic.,"'God fearing thief' and 'our thief' are sarcastic personal insults aimed at a named official, not at an ethnic community.",False
2078759533309047258,p_hate_top,@undertaker4840 Its still kalongolongo cha mama cha baba but sifuna has momentum n some euphoria like Gusii had on matiangi who appear to get kikuyu thro uhuru magic ward. Pple to watch Gathietha n Kalonzo. Hawa wengine ni batoto bajinga,offensive,neither,"Political analysis mixed with mild personal insults ('batoto bajinga') aimed at politicians, not an ethnic community.",Electoral arithmetic and candidate analysis across multiple communities with no contempt expressed toward any group.,False
2074229490008326329,nli_tail,"@makaumully You analysis is so shallow sir ,kangata is still a gov under UDA ticket,Ruto led UDA campaign while still in jubilee upto the last minute he resigned from jubilee only 6 months to election,I know you are under pressure to have your lazy tribesman kalonzo declared opp candidate",neither,offensive,The phrase 'lazy tribesman' attacks a specific politician rather than transferring the laziness onto the whole tribe.,"'Lazy tribesman kalonzo' edges toward ethnic contempt but the operative insult 'lazy' is directed at Kalonzo as an individual; 'tribesman' is a descriptor, not a collective attack on his community - marginal but individual target dominates.",False
2077929505377878107,nli_tail,"@WhiteHouse LMAO, yet Trump is screaming Democrats cheat, well, when he doesn't win.. he hates half the fucking country",offensive,neither,Contains profanity ('fucking') but targets a political party/figure rather than a protected group.,Criticism of Trump and Democrats as political actors; no protected-characteristic group attacked as a group.,False
2074064350722064604,p_hate_top,@pksalasya You and that Eugene are nonstarters and village leaders. We luhyas only listen to SIFUNA. #sisindiosifuna . Wewe ni mtu useless kabisa🚮,offensive,neither,Personal abuse ('wewe ni mtu useless kabisa') directed at a specific politician.,"Intra-Luhya factional politics asserting Sifuna's supremacy over named rivals; 'useless' is a personal insult, and 'we Luhyas' is electoral bloc assertion, not contempt for another group.",False
2078560059877982681,p_hate_top,@DjSoxxy Unless you live in a cave.... Gachagua is a tribal bigot per excellence!!,neither,offensive,"Criticising a politician as a 'tribal bigot' is an attack on the individual's politics, not hate speech against a group.",'Tribal bigot' is a personal characterisation of Gachagua as an individual; the insult is not transferred onto his ethnic community.,False
2077504719052759058,p_offensive_top,"Mna celebrate hii rigging ya Fifa to hand over world cup trophy to Messi as a retirement victory, IEBC will do that to Ruto na msilie, wajinga sanaaa nyinyi",offensive,neither,"Ordinary political frustration ending in a generic insult ('wajinga sanaaa nyinyi') aimed at the audience, not an ethnic group.",Sarcastic comparison of FIFA trophy politics to IEBC rigging fears; no ethnic group targeted.,False
2074935175117504552,p_offensive_top,@mcpipita @mcpipita Red Hand is asking “how are we supposed to keep the President in check?” 1. When we had a chance to do so kwa Space ya Osama we focused on him “betraying us” and saying “fuck you Murkomen” Uwongo ama ukweli?,offensive,neither,"Contains profanity ('fuck you') directed at a politician, even though it is quoting past behavior.","Commentary on political accountability strategy referencing a named official; 'fuck you Murkomen' is quoted speech within political analysis, not directed hate.",False
